"","taxon","1","2","4","5","6","7","8","11","12","13","14","19","28","29"
"1","Alder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24
"2","Ambrosia",NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Artemisia",NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Ash",NA,NA,NA,0.11,0.21,0.05,0.07,NA,NA,NA,NA,NA,NA,NA
"5","Asters",NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Basswood",0.08,0.22,NA,0.01,0.01,0.01,0.04,NA,NA,NA,NA,NA,NA,NA
"7","Beech",NA,NA,NA,0.22,0.29,0.1,0.15,0.89,0.24,0.93,0.75,2.19,NA,NA
"8","Birch",0.64,2.03,NA,0.49,0.49,0.92,0.87,0.79,0.07,0.79,1.33,0.3,0.79,0.79
"9","Cedar",NA,NA,9.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Chenopods",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Cypress",NA,NA,NA,0.02,0.03,0.08,0.07,NA,NA,NA,NA,NA,NA,NA
"12","Dogwood",NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Elm",NA,NA,NA,0.11,0.17,0.14,0.31,NA,NA,NA,NA,NA,NA,NA
"14","Fir",NA,NA,NA,0.02,0.03,0.03,0.03,NA,NA,NA,NA,0.45,NA,NA
"15","Grass",NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.09
"16","Heather",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA
"17","Hemlock",0.23,1.46,NA,1.4,1.75,0.53,0.48,4.02,0.74,2.09,2.88,5.23,NA,NA
"18","Hickory",NA,NA,NA,0.25,0.27,0.35,0.39,NA,NA,NA,NA,NA,NA,NA
"19","Larch",NA,NA,NA,NA,NA,0.05,0.04,NA,NA,NA,NA,NA,NA,NA
"20","Maple",0.09,0.3,NA,0.02,0.03,0.02,0.01,0.09,0.03,0.05,0.08,0.09,NA,NA
"21","Mulberry",NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Oak",1,1,1,1,1,1,1,NA,1,NA,1,1,NA,NA
"23","Pea",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Pine",0.82,3.46,NA,3.04,1.85,1.77,1.26,5.32,0.67,1.98,2.75,NA,NA,NA
"25","Poplar",NA,NA,0.59,NA,NA,0.02,0.02,NA,NA,NA,NA,0.03,NA,0.01
"26","Sedge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA
"27","Spruce",NA,NA,NA,0.12,0.16,0.14,0.14,0.33,NA,0.56,NA,0.18,NA,0.25
"28","Walnut",NA,NA,NA,1.08,1.05,0.8,0.89,NA,NA,NA,NA,NA,NA,NA
"29","Willow",NA,NA,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.06
