"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";54,883;8,065;0,351;0,163;1,076;0,029;3,232;9,147;17,904;3,522;1,587;0;0,04;0
"2";28,16;7,911;1,672;1,577;6,269;0,113;8,675;4,959;0;1,541;38,785;0;0,339;0
"3";37,814;4,659;0,913;0,033;0,444;0,043;2,153;1,511;46,561;2,114;3,506;0;0,248;0
"4";47,169;20,877;1,045;0,226;4,591;1,134;12,343;2,779;0;2,953;6,424;0;0,457;0
"5";61,285;17,803;10,96;0,599;0,841;0;1,887;2,027;0;1,639;2,895;0;0,063;0
"6";0,795;0,362;0,029;0,002;0,079;0,005;0,103;0,041;2,327;0,179;96,077;0;0,001;0
"7";16,361;13,171;2,132;1,359;1,364;0,046;2,808;15,575;38,383;4,892;3,336;0;0,573;0
"8";42,586;9,077;0,637;0,123;1,09;0,022;2,891;2,431;32,28;7,204;1,623;0;0,036;0
"9";50,27;3,271;0,851;0,154;4,48;0,216;1,099;1,751;25,387;9,748;2,524;0;0,25;0
"10";10,871;9,448;0,493;0,376;0,356;0,025;1,554;10,381;52,102;10,293;3,99;0;0,113;0
"11";16,342;3,627;3,597;0,399;4,518;0,017;2,445;1,884;25,468;0,876;40,798;0;0,029;0
"12";85,5;2,865;0,151;0,029;0,568;0,131;2,674;1,01;0;2,315;4,744;0;0,014;0
"13";62,678;10,963;1,768;0,149;3,447;0,199;4,576;6,002;0;7,36;2,796;0;0,06;0
"14";66,162;8,682;0,398;0,288;0,907;0,105;3,544;1,546;0;2,412;15,861;0;0,094;0
"15";88,515;3,87;0,263;0,218;0,358;0,028;1,233;2,53;0;1,304;1,541;0;0,139;0
"16";36,506;7,898;1,521;0,289;0,922;1,479;3,951;1,879;40,544;2,021;2,368;0;0,624;0
"17";17,045;6,906;0,319;0,229;0,529;1,573;1,802;1,57;29,61;38,384;1,99;0;0,044;0
"18";5,888;3,286;0,355;0,34;6,551;0,022;1,543;0,971;53,274;0,959;26,732;0;0,079;0
"19";17,829;4,103;1,348;0,202;4,9;0,056;2,533;2,026;60,334;3,101;3,524;0;0,043;0
"20";16,254;8,342;0,426;0,184;0,326;0,26;1,246;2,742;62,711;2,29;1,162;0;4,058;0
"21";21,632;12,268;0,901;0,22;0,697;0,221;5,815;1,013;47,862;1,176;7,876;0;0,317;0
"22";17,716;8,999;0,431;6,652;2,069;0,109;1,974;1,244;53,832;2,344;3,883;0;0,747;0
"23";44,502;26,896;0,329;0,169;2,586;0,172;3,852;4,458;0;13,813;2,868;0;0,354;0
"24";35,237;40,972;1,054;0,548;3,097;0,236;5,148;3,516;0;1,295;5,087;0;3,809;0
"25";38,656;14,366;5,98;1,845;2,338;0,089;8,535;9,732;0;3,039;5,139;0;10,28;0
"26";21,097;11,44;0,657;0,769;2,648;0,151;2,355;1,052;39,083;18,674;1,803;0;0,272;0
"27";60,036;7,266;0,427;0,177;0,288;0,063;1,448;2,01;0;25,679;2,451;0;0,156;0
"28";40,112;6,497;1,658;1,901;0,278;0,095;0,849;2,307;39,31;0,726;6,248;0;0,02;0
"29";33,779;3,581;13,133;0,106;0,766;0,049;20,864;0,723;25,571;0,713;0,638;0;0,078;0
"30";66,256;4,383;3,053;0,361;9,248;0,075;12,156;1,671;0;1,093;1,644;0;0,059;0
"31";81,486;1,444;0,147;0,193;0,628;0,018;0,64;0,21;11,882;0,214;3,025;0;0,112;0
"32";29,945;6,877;1,013;0,546;1,096;0,245;11,164;6,861;34,657;2,339;5,068;0;0,189;0
"33";82,058;4,25;0,102;0,237;2,671;0,085;1,233;7,075;0;0,48;0,931;0;0,879;0
"34";7,971;5,599;0,735;0,523;9,997;0,146;1,991;1,128;67,36;1,202;3,277;0;0,071;0
"35";17,728;4,221;0,192;1,115;0,76;1,005;1,798;1,238;65,515;5,243;1,127;0;0,058;0
"36";15,673;24,216;8,19;0,727;0,589;0,138;2,091;8,733;33,983;1,355;4,258;0;0,045;0
"37";42,839;28,705;0,978;0,124;3,942;0,151;8,04;3,462;0;2,601;7,993;0;1,167;0
"38";8,896;20,381;0,212;0,938;0,742;0,107;6,821;4,675;50,467;0,534;6,17;0;0,056;0
"39";28,049;1,335;0,197;0,171;8,394;0;0,91;1,165;55,605;3,386;0,746;0;0,043;0
"40";42,922;3,705;0,23;0,221;0,816;0,199;6,328;10,144;30,259;2,628;2,495;0;0,053;0
"41";56,393;6,721;0,173;0,173;1,063;0,064;4,101;1,482;27,51;1,157;0,893;0;0,269;0
"42";71,781;12,254;1,065;0,378;1,16;0,556;3,752;2,463;0;1,776;4,489;0;0,325;0
"43";80,605;4,962;1,533;0,647;0,943;0,181;3,738;2,143;0;2,368;2,768;0;0,111;0
"44";13,097;6,278;9,576;0,27;14,023;0,351;4,173;3,68;43,297;3,04;1,71;0;0,504;0
"45";52,736;12,426;1,267;0,384;14,508;1,748;7,149;3,489;0;1,802;4,085;0;0,407;0
"46";21,175;2,555;0,276;0,047;1,072;0,026;4,538;1,421;64,113;1,635;3,078;0;0,065;0
"47";26,301;3,727;0,277;0,251;0,276;0,204;1,27;2,473;49,813;13,725;1,664;0;0,018;0
"48";21,676;2,411;0,12;0,337;0,57;0,06;4,632;3,267;64,747;0,818;1,361;0;0;0
"49";72,065;8,498;3,348;0,09;0,531;0,053;2,574;2,21;0;7,828;2,665;0;0,137;0
