"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"1";0,267;39,425;12,671;18,684;0,681;3,907;12,045;0;2,405;6,956;2,959
"2";0,181;2,437;0,67;85,972;0,152;1,195;8,875;0;0,042;0,153;0,323
"3";1,06;28,959;4,846;30,399;0,144;3,73;9,692;0;0,352;4,027;16,789
"4";1,376;24,819;47,636;5,208;0,382;1,919;12,261;0;0,469;3,993;1,936
"5";0,024;1,157;0,437;95,514;0,069;0,074;2,257;0;0,03;0,127;0,311
"6";0,154;27,201;15,988;12,673;3,644;4,417;10,894;0;15,463;1,624;7,941
"7";0,178;76,425;3,512;3,446;0,239;1,607;10,433;0;0,083;1,873;2,203
"8";0,071;16,792;7,16;8,279;0,725;0,586;64,162;0;0,551;0,651;1,024
"9";0,03;19,268;25,392;4,22;0,49;0,719;43,607;0;0,338;0,65;5,285
"10";0,198;26,763;6,741;7,527;0,419;2,257;10,434;0;0,057;2,613;42,992
"11";0,436;19,667;6,984;16,579;0,37;2,632;17,393;0;0,312;3,023;32,603
"12";0,117;50,545;6,537;5,949;1,624;3,07;17,608;0;0,486;10,596;3,467
"13";0,14;17,585;2,003;12,511;0,593;4,002;60,734;0;0,564;0,386;1,483
"14";0,387;14,304;49,581;12,802;0,354;15,425;4,801;0;0,216;0,89;1,24
"15";0,142;14,889;12,45;14,237;6,369;2,036;44,75;0;0,074;0,619;4,434
"16";0,157;36,253;10,968;21,473;2,09;9,248;11,757;0;1,029;3,191;3,834
"17";0,385;30,805;11,169;13,297;18,389;5,995;9,216;0;0,508;4,124;6,11
"18";0,212;23,996;9,697;9,389;0,834;10,809;23,623;0;0,081;3,966;17,393
"19";0,101;21,082;18,355;45,932;0,332;3,336;4,17;0;2,765;1,065;2,86
"20";0,292;40,52;3,161;27,055;0,386;6,971;11,81;0;0,453;3,209;6,142
"21";0,893;13,785;49,728;24,472;0,332;1,082;5,359;0;0,22;3,142;0,987
"22";0,038;36,752;4,47;36,973;0,169;5,97;4,468;0;0,259;4,932;5,97
"23";1,141;62,767;4,776;8,676;0,119;9,824;8,411;0;0,37;3,63;0,287
"24";0,226;41,067;11,444;13,147;0,632;1,416;22,342;0;2,635;4,9;2,19
"25";0,011;2,33;1,86;89,434;0,054;0,104;5,379;0;0,017;0,108;0,702
"26";0,449;34,588;3,654;5,189;0,517;11,207;10,108;0;0,471;27,439;6,38
"27";0,19;65,288;4,796;4,042;0,174;14,327;7,713;0;0,21;0,895;2,365
"28";0,527;19,472;3,814;26,324;1,842;2,486;41,136;0;2,286;1,073;1,042
"29";0,182;23,791;4,771;38,547;0,946;7,577;17,585;0;2,718;1,934;1,949
"30";0,189;40,398;7,367;19,82;0,286;14,396;9,553;0;0,466;0,883;6,642
"31";0,102;3,183;2,833;2,106;0,085;2,168;51,775;0;36,221;0,229;1,297
"32";3,172;31,967;7,436;21,661;0,978;2,419;17,468;0;1,059;3,036;10,806
"33";1,447;44,203;6,446;14,104;3,935;5,415;13,43;0;0,407;6,588;4,026
"34";0,056;60,551;3,671;20,734;0;1,409;6,063;0;0,611;1,128;5,777
"35";0,563;73,333;4,069;8,292;0,145;1,766;7,01;0;0,314;1,457;3,053
"36";0,311;13,015;11,882;21,179;31,646;0,77;7,236;0;0,484;5,479;8
"37";0,25;68,202;7,883;11,544;0;1,384;7,779;0;0,247;0,845;1,865
"38";0,185;23,947;47,524;11,309;0,755;5,97;5,359;0;0,332;1,051;3,568
"39";0,042;8,006;2,095;3,576;0,158;0,602;64,169;0;0,085;6,798;14,469
"40";0,145;15,836;2,465;69,806;0,259;0,647;6,636;0;0,379;0,77;3,057
"41";0,585;20,832;21,565;11,473;0,799;4,664;15,193;0;0,851;1,395;22,642
"42";0,035;23,749;27,737;34,674;0,328;0,414;4,583;0;3,98;1,46;3,04
"43";0,847;35,906;24,949;8,952;0,332;4,157;9,05;0;0,784;1,85;13,172
"44";0,083;26,191;3,403;33,221;0,719;0,951;26,528;0;0,301;4,106;4,498
"45";0,473;30,526;5,092;19,932;0,993;7,832;25,507;0;0,322;2,52;6,803
"46";0,059;34,955;5,812;10,244;0,087;1,028;43,518;0;0,087;0,491;3,719
"47";0,222;6,05;1,479;83,547;1,004;0,389;5,149;0;0,064;0,853;1,243
"48";0,173;47,488;11,551;30,752;0,153;1,123;5,109;0;0,649;2,38;0,622
"49";0,305;31,755;7,252;15,981;2,357;5,089;16,378;0;0,653;8,066;12,165
"50";0,351;19;4,038;15,902;0,788;1,195;45,657;0;0,516;2,519;10,033
"51";6,41;45,077;3,24;25,47;3,242;0,526;10,553;0;0,973;2,225;2,285
"52";0,353;57,844;13,776;9,107;0,772;1,998;10,082;0;2,488;1,267;2,313
"53";11,208;38,006;4,59;15,57;0;6,69;16,456;0;0,979;5,247;1,254
"54";0,146;59,967;4,556;13,681;0,765;2,412;5,844;0;0,875;4,68;7,072
"55";0,166;20,823;2,968;22,65;0,696;4,191;36,972;0;2,421;2,959;6,154
"56";0,159;62,897;2,803;19,093;0,419;1,177;9,202;0;0,132;0,806;3,311
"57";0,437;8,387;1,277;15,962;0,312;5,441;48,995;0;0,25;17,115;1,823
"58";0,153;25,412;11,276;37,491;0,731;4,471;13,659;0;0,59;2,88;3,337
"59";0,152;37,428;11,318;41,417;0;1,296;3,567;0;0,239;1,631;2,953
"60";0,123;24,77;3,058;15,51;0,167;49,79;3,992;0;0,097;0,571;1,921
"61";0,112;9,9;2,986;3,429;0,075;0,598;53,896;0;0,368;0,548;28,088
"62";0,144;9,965;5,458;70,562;0,583;0,7;8,772;0;0,244;2,227;1,346
"63";0,608;53,894;15,209;11,822;0,225;11,066;4,006;0;0,213;1,082;1,875
"64";0,079;58,585;1,04;2,601;0,493;14,871;19,016;0;0,15;0,327;2,839
"65";0,361;38,257;22,839;16,167;0,692;6,28;11,21;0;0,524;1,269;2,401
"66";0,466;10,796;37,545;43,723;0,126;0,458;4,516;0;0,103;0,244;2,024
"67";0,073;24,75;1,796;6,067;0,052;1,172;4,81;0;0,512;1,224;59,545
"68";0,166;36,712;3,383;37,625;0,133;0,932;12,55;0;0,974;2,179;5,346
"69";0,565;16,561;5,211;29,204;0,553;1,769;19,903;0;1,188;4,348;20,698
"70";10,503;53,68;4,512;15,003;0,417;0,42;10,716;0;0,156;1,337;3,257
"71";0,066;21,462;2,703;9,857;3,62;0,595;47,45;0;1,517;11,205;1,524
"72";0,133;79,061;2,923;3,891;0,148;2,245;7,715;0;1,502;1,483;0,9
"73";4,706;35,969;10,911;18,515;0,575;3,115;19,092;0;0,29;2,785;4,041
"74";0,308;36,388;10,495;22,018;1,36;1,441;19,401;0;0,547;3,944;4,097
"75";1,043;42,219;13,606;10,574;0,431;3,616;19,044;0;0,548;5,529;3,39
"76";0,542;20,479;4,377;33,204;0,644;7,312;6,977;0;0,219;1,77;24,477
"77";0,055;28,38;2,313;16,547;0,743;0,967;22,725;0;0,703;0,785;26,783
