"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13"
"1";0,156;33,183;1,129;0,403;0,923;2,449;8,338;49,999;0;0,456;1,993;0;0,969
"2";0,262;1,875;3,244;0,182;14,754;7,917;0,511;53,976;0;0,623;6,372;0;10,284
"3";7,391;2,882;14,353;1,046;5,593;14,355;0,211;43,881;0;3,909;5,648;0;0,731
"4";0,178;0,309;0,101;0,039;0,219;0,282;0,056;4,44;0;0,038;90,245;0;4,094
"5";0,459;9,571;0,862;0,303;10,961;19,304;0,628;46,814;0;1,069;4,039;0;5,988
"6";2,787;1,029;0,614;0,07;0,333;0,547;2,475;91,483;0;0,102;0,56;0;0
"7";0,025;0,296;0,136;0,03;76,731;9,505;0,2;9,045;0;0,248;3,584;0;0,199
"8";0,33;2,2;0,692;0,229;2,837;7,683;3,429;36,934;0;0,755;43,51;0;1,401
"9";0,396;22,147;0,899;8,547;2,678;17,483;0,86;40,463;0;0,14;6,24;0;0,148
"10";0,109;1,807;1,162;0,242;21,039;30,352;1,981;28,492;0;1,797;12,64;0;0,379
"11";0,052;0,196;0,065;0,065;0,096;0,218;0,24;2,609;0;0,02;96,354;0;0,088
"12";0,397;2,125;3,669;0,446;6,149;4,535;1,274;51,231;0;0,816;26,578;0;2,78
"13";0,079;0,142;0,158;0,057;3,164;0,388;0,094;94,819;0;0,007;1,022;0;0,072
"14";0,141;13,504;2,416;0,237;3,084;3,136;0,869;63,923;0;0,36;10,855;0;1,475
"15";1,441;8,104;2,429;2,527;8,798;11,506;2,727;55,141;0;0,597;5,975;0;0,756
"16";19,14;1,469;0,792;0,619;1,065;1,747;0,395;65,856;0;0,149;2,359;0;6,409
"17";19,95;3,73;1,829;12,089;1,898;15,663;1,448;32,991;0;1,859;6,117;0;2,427
"18";0,802;3,086;2,485;0,48;2,918;6,413;3,728;46,434;0;0,879;28,315;0;4,461
"19";0,726;1,62;0,633;1,37;1,73;3,44;0,489;86,5;0;0,151;2,84;0;0,502
"20";0,575;11,969;1,08;0,224;9,178;6,054;4,402;60,742;0;0,566;3,975;0;1,235
"21";0,13;0,631;0,427;0,081;0,266;4,925;1,41;90,647;0;0,196;0,63;0;0,656
"22";0,11;4,031;7,654;2,881;1,548;42,042;0,634;36,812;0;0,259;3,331;0;0,699
"23";0,34;2,514;0,733;0,181;8,937;2,232;0,512;74,845;0;0,259;8,38;0;1,068
"24";0,434;0,767;0,808;0,034;1,992;1,171;0,552;81,044;0;1,127;11,673;0;0,398
"25";1,013;3,997;7,069;0,817;3,1;6,626;0,669;60,414;0;12,819;2,935;0;0,541
"26";2,403;1,276;1,116;1,467;2,347;7,552;0,505;76,122;0;0,168;5,884;0;1,16
